"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Services of the business economy","Managers","Total","Males",5384,5372,176,5786,6083,171,5594,6174,170,6127,6483,173
"Belgium","Services of the business economy","Managers","Total","Males",5170,5176,172,5368,5819,164,5596,6212,157,6158,6693,166
"Bulgaria","Services of the business economy","Managers","Total","Males",936,379,183,1586,604,174,2224,987,165,2659,1273,179
"Croatia","Services of the business economy","Managers","Total","Males",NA,NA,NA,NA,NA,NA,3291,2318,168,NA,NA,NA
"Cyprus","Services of the business economy","Managers","Total","Males",3740,3428,169,3104,4698,169,6045,5370,169,5262,4740,170
"Czech Rep.","Services of the business economy","Managers","Total","Males",2442,1262,170,3003,1826,171,3406,2465,170,3965,2526,170
"Denmark","Services of the business economy","Managers","Total","Males",4219,5433,161,4770,6543,160,5447,7439,160,6008,8360,160
"Estonia","Services of the business economy","Managers","Total","Males",1809,948,180,2291,1464,174,2896,1990,165,3061,2314,180
"Finland","Services of the business economy","Managers","Total","Males",3853,4570,163,4733,5520,162,5492,6561,162,6071,7425,162
"France","Services of the business economy","Managers","Total","Males",4346,4361,152,4610,5109,173,4740,5326,167,5285,5692,172
"Germany","Services of the business economy","Managers","Total","Males",5018,5192,168,6308,6486,166,7070,7385,166,8112,8233,169
"Greece","Services of the business economy","Managers","Total","Males",2933,2449,171,3891,3340,175,3711,3415,168,4276,3653,170
"Hungary","Services of the business economy","Managers","Total","Males",2040,1093,183,2399,1432,178,3241,1936,165,3558,2047,169
"Iceland","Services of the business economy","Managers","Total","Males",3497,4579,162,4821,7228,172,4114,4394,170,5713,6742,173
"Ireland","Services of the business economy","Managers","Total","Males",4174,4921,157,4471,5404,169,5216,5768,166,3897,4765,143
"Italy","Services of the business economy","Managers","Total","Males",6592,6192,170,5722,5854,171,5923,6061,167,7123,7331,179
"Latvia","Services of the business economy","Managers","Total","Males",1357,685,178,1667,958,168,1442,1311,150,2247,1576,161
"Lithuania","Services of the business economy","Managers","Total","Males",1501,739,176,1743,942,168,1918,1134,159,2268,1423,168
"Luxembourg","Services of the business economy","Managers","Total","Males",6189,6334,173,6915,7762,171,7560,9145,168,7487,9017,181
"Macedonia","Services of the business economy","Managers","Total","Males",NA,NA,NA,NA,NA,NA,2678,1037,168,2333,1085,183
"Malta","Services of the business economy","Managers","Total","Males",2745,1982,174,1415,2274,171,3559,2602,172,4098,3315,168
"Montenegro","Services of the business economy","Managers","Total","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,3421,1898,178
"Netherlands","Services of the business economy","Managers","Total","Males",3732,3806,163,3937,4196,161,4443,4950,161,5156,5662,168
"Norway","Services of the business economy","Managers","Total","Males",4132,6036,162,4835,6411,161,5131,7579,160,5616,8226,160
"Poland","Services of the business economy","Managers","Total","Males",2812,1663,185,3032,1762,172,3476,2077,164,4366,2438,179
"Portugal","Services of the business economy","Managers","Total","Males",4642,3554,166,4322,3512,161,4570,3788,163,4770,3886,164
"Romania","Services of the business economy","Managers","Total","Males",1272,523,185,1832,915,176,2432,1205,167,2436,1294,181
"Serbia","Services of the business economy","Managers","Total","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,2444,1233,184
"Slovakia","Services of the business economy","Managers","Total","Males",2123,923,177,2247,1531,171,2861,1914,162,3240,2197,175
"Slovenia","Services of the business economy","Managers","Total","Males",3272,2248,164,4276,3192,174,4321,3635,166,4533,3701,177
"Spain","Services of the business economy","Managers","Total","Males",4743,4043,178,4657,4206,169,4536,4268,168,4354,4019,167
"Sweden","Services of the business economy","Managers","Total","Males",3981,4982,171,4483,5402,171,4743,5867,171,5416,6801,172
"Switzerland","Services of the business economy","Managers","Total","Males",NA,NA,NA,NA,NA,NA,7593,10889,177,6995,10414,176
"Turkey","Services of the business economy","Managers","Total","Males",NA,NA,NA,2695,1550,195,3219,1989,195,3734,2233,195
"United Kingdom","Services of the business economy","Managers","Total","Males",5089,5843,167,5332,6017,167,5083,5371,167,4906,5960,167
